"search-number","evaluation","a*","b*","c*","d*","num-replicates","best-fitness-so-far","recheck-replications","best-fitness-rechecked"
"10","1","-2","-28","-20","29","1","-5548.751638555993","2","-6739.583026369659"
"10","2","-2","-28","-19","29","1","-5081.756951683676","2","-5944.528991258154"
"10","4","-1","-28","18","-17","1","-2927.4024714534735","2","-3841.7390279457413"
"10","20","0","-28","13","-17","1","-2889.96781824416","2","-3379.0336258264015"
"10","23","0","-29","13","-17","1","-1743.1225882729398","2","-3046.6210571282186"
"10","29","0","-29","3","-17","1","-1367.3557592429065","2","-2789.4457935184964"
"11","1","-9","-30","-23","-12","1","-3207.5236563514372","2","-3222.42313609421"
"11","3","-12","-30","-23","-9","1","-2772.8975036666343","2","-3667.8544970779335"
"11","4","-12","-3","-23","-9","1","-1921.2834716782534","2","-2752.0405580602564"
"11","7","-12","-3","-23","-8","1","-1711.6867668254308","2","-1722.0881046546485"
"11","8","8","-3","23","-8","1","67.64130767922893","2","-1828.2655503288067"
"12","1","14","-19","-20","16","1","-4052.4465104281835","2","-2531.7322938213993"
"12","2","-15","-19","19","16","1","-2369.39870963549","2","-2632.7893809369534"
"12","9","-2","-19","13","16","1","-1190.9389673910948","2","-3189.4564089569426"
"12","11","-7","-19","12","16","1","-638.9526707640007","2","-1746.8568772350088"
"12","12","-7","18","-13","-17","1","-503.330071901104","2","-2844.3705928237796"
"12","16","-6","13","-13","-17","1","-57.70114408716927","2","-1994.4174940873886"
"12","35","5","10","-12","16","1","58.98328347278175","2","-1485.66762032858"
"13","1","25","9","-7","29","1","-4517.8388444869015","2","-4894.865797398676"
"13","5","25","9","6","29","1","-3324.9792092340645","2","-5158.352347123087"
"13","6","26","9","5","2","1","-2092.385763759402","2","-1012.5920317463491"
"13","8","25","9","2","2","1","-879.8637993078015","2","-2234.954108407345"
"13","10","24","9","2","2","1","-730.7288258807106","2","-1028.545762089613"
"13","12","24","9","13","2","1","-303.54194442981304","2","-1447.4497499618276"
"13","16","25","9","10","2","1","551.7093975783368","2","-1164.5613165585678"
"13","38","25","-10","10","2","1","997.4122666860176","2","-705.096957590501"
"14","1","5","21","-6","-11","1","-2339.656587514448","2","-1407.193974239597"
"14","2","5","10","-6","-11","1","-1784.6387692233973","2","-621.9446645964052"
"14","4","-6","10","5","-11","1","-270.2141009377317","2","274.1435732667654"
"14","8","-6","10","5","-12","1","-217.26236792829388","2","-1763.9479707901592"
"14","12","-3","10","5","11","1","71.97555046563957","2","-1528.9558484831084"
"14","40","-3","10","4","11","1","522.2238503343237","2","-1139.552562362423"
"15","1","-22","-20","-31","3","1","-4620.282896979331","2","-4192.960112238467"
"15","2","-23","-20","-31","3","1","-4109.755572094467","2","-5130.3187829869585"
"15","3","-10","-20","-31","3","1","-3855.451843609805","2","-3951.0763601560775"
"15","6","-10","-20","-31","4","1","-3287.337818574738","2","-3646.9134476664995"
"15","7","-10","-20","-3","4","1","-2148.330404862506","2","-379.3008004684079"
"15","9","-7","-20","-3","4","1","-649.6342552855527","2","-1438.928752893885"
"15","10","-7","-17","-3","4","1","-205.10782316144764","2","-104.57804544592517"
"15","24","-2","-17","-6","-5","1","1714.5171711077896","2","-1177.1787260743668"
"16","1","11","29","12","9","1","-2057.152198556798","2","-2813.1941331151547"
"16","5","11","29","15","10","1","-1909.0533269988664","2","-3182.3717053188598"
"16","13","11","18","15","10","1","-1876.8950010834483","2","-1680.1892563230156"
"16","17","4","17","15","-11","1","-510.2673903815414","2","-3040.9384296866297"
"16","30","10","17","15","-11","1","-427.99786798856485","2","-1077.311971519791"
"17","1","6","-32","15","18","1","-4166.062329021896","2","-3326.434325763216"
"17","4","6","30","15","18","1","-2253.590110018091","2","-4064.1830921358805"
"17","13","6","25","15","18","1","-1739.1467075546516","2","-3514.2172164654"
"17","24","6","25","15","14","1","-1205.2302526865562","2","-2211.7088063214815"
"17","26","6","25","8","9","1","-1103.407212288961","2","-1084.9897835868378"
"17","37","6","25","9","-10","1","-1097.9502205372114","2","-1601.757385482151"
"18","1","27","-21","27","-2","1","-4283.153046741069","2","-3431.619587700364"
"18","2","24","20","27","-2","1","-3112.1936434322615","2","-3593.8730162615407"
"18","5","24","27","-27","-2","1","-3018.7923565042665","2","-4419.08407716088"
"18","8","24","27","5","-2","1","-814.4107561723481","2","-2279.012605875314"
"18","10","24","20","5","-2","1","712.7614205496179","2","-662.2743585339919"
"19","1","-8","-26","-6","29","1","-5283.219234250041","2","-4535.367790606548"
"19","3","-8","-25","-6","29","1","-3732.5388348619013","2","-6245.597290816779"
"19","22","-8","-25","-6","21","1","-3494.5761614472754","2","-2993.015812578205"
"19","23","-8","-28","5","21","1","-3429.8551695620304","2","-3459.8811467523847"
"19","24","7","-28","5","21","1","-2311.8010841211517","2","-3652.173450057718"
"19","25","7","-28","5","19","1","-1996.3329546446637","2","-4017.016296881814"
"19","28","7","-28","5","12","1","-1549.080315880174","2","-2276.966560184262"
"19","31","7","-8","5","12","1","-1407.3630582820856","2","-548.8425413994125"
"19","34","-5","-1","5","12","1","-759.5737997901","2","-1226.8573068554444"
"19","35","-5","2","5","3","1","220.94118670440594","2","-316.05097030687347"
"19","38","-6","2","5","3","1","808.47069960653","2","-267.03786193361236"
"20","1","-7","24","1","-2","1","-1592.938637429325","2","-518.310108190722"
"20","2","6","24","1","-7","1","-1143.845652668473","2","-1132.8342131389131"
"20","3","6","-25","6","-7","1","-698.9468292488378","2","-1366.1668334865835"
"20","6","6","16","6","-7","1","-336.6540685212997","2","-1013.8919901692841"
"20","13","6","20","9","6","1","183.69139876114036","2","-2156.53928963676"
"21","1","-24","-23","-12","-24","1","-5118.047036724877","2","-3557.4752533367737"
"21","3","18","-23","-12","-23","1","-4973.37013671751","2","-3123.5049180144533"
"21","4","18","-22","-13","-23","1","-3301.8471660820383","2","-4373.059195212026"
"21","9","18","21","-13","-10","1","-755.1889643177715","2","-1501.1205603276924"
"21","19","14","21","-14","-10","1","-607.0924267014966","2","-2134.952806298288"
"22","1","-28","29","1","9","1","-2979.480364359231","2","-3158.5923513298867"
"22","4","-28","29","-2","9","1","-2133.0250347332867","2","-2833.496719838382"
"22","5","-27","29","-2","-10","1","-2102.724867158256","2","-3103.1563254600187"
"22","12","-22","29","-2","-10","1","-1836.1034717110085","2","-3463.5735270364057"
"22","21","-23","29","-2","-10","1","-1724.6872338058186","2","-1476.9522607510512"
"22","22","-23","3","-2","-10","1","696.7879887076276","2","-1025.7421532943465"
"23","1","-23","-23","-1","15","1","-2584.123229795429","2","-1812.4869810424816"
"23","2","-23","-23","-1","8","1","-2111.2982021675784","2","-2915.22221876451"
"23","4","-11","-23","-1","9","1","-1328.4414390587062","2","-848.3901827127711"
"23","7","-12","-23","-1","9","1","-642.736276304407","2","-2021.4500698274376"
"23","18","-12","-10","-1","9","1","-542.2389716792941","2","-962.3772531043761"
"23","23","-12","-8","-1","9","1","-356.01374675319994","2","646.1954285872052"
"23","27","-12","-9","-1","9","1","113.86241745590371","2","-1006.9289326476088"
"24","1","-31","30","-6","-25","1","-4652.285659676015","2","-4192.1252381219965"
"24","3","-31","29","-6","-8","1","-2965.0616071781924","2","-2922.413353123375"
"24","5","-31","2","-6","-8","1","-1562.176354252772","2","-40.78548909423591"
"24","6","-3","13","-6","-8","1","220.6338864444822","2","252.10375943659542"
"24","10","-3","13","-6","7","1","351.07298070524416","2","-248.8899643505603"
"24","11","-3","10","-6","0","1","922.9990834979781","2","-187.86752945074852"
"24","34","2","5","-6","0","1","1358.2002903370674","2","-1265.9878761495206"
"25","1","-8","-7","-2","-11","1","-782.0753822257834","2","-147.34263252336515"
"25","2","-8","-2","-2","-11","1","2.30098819667694","2","-386.2396100761514"
"25","17","-7","-2","-2","-11","1","229.36047885521384","2","-230.69711988419493"
"26","1","-19","21","5","-13","1","-1470.0764869453026","2","-2347.896778699438"
"26","4","-19","20","5","-13","1","-1394.7518340990464","2","-2238.3943682121862"
"26","10","18","12","10","-13","1","-1089.8434914260902","2","-1619.2019471110107"
"26","13","17","11","10","-13","1","-511.1170475930977","2","-1148.091696973574"
"26","29","-18","11","10","-4","1","87.62407982042635","2","-1270.9364804468823"
"27","1","-5","-23","-28","27","1","-6948.490677351194","2","-6666.170494693709"
"27","2","-3","-23","-27","27","1","-6616.299768343191","2","-6719.18455203685"
"27","3","-11","22","-27","27","1","-5690.319351634947","2","-6750.576063343977"
"27","5","-11","22","27","27","1","-4905.94181403181","2","-6290.028953745364"
"27","8","-11","22","27","5","1","-4010.0292212587174","2","-4154.57384181346"
"27","10","5","-22","27","5","1","-3014.461723406829","2","-2880.0235398290683"
"27","11","-6","-22","-27","5","1","-2781.57481379985","2","-3328.723210586356"
"27","16","-6","-21","-22","5","1","-2219.084955072984","2","-1870.6455514934325"
"27","17","-12","-21","-22","5","1","-2212.005438889995","2","-1340.9747975519356"
"27","18","-12","-21","-19","5","1","-2139.3402639057517","2","-2179.525245220012"
"27","20","-12","-22","-19","5","1","-1483.9849856812818","2","-2353.2156328367473"
"27","37","-12","21","-19","5","1","-1168.3770349269003","2","-2980.2413074784076"
"28","1","-7","-5","22","3","1","-2395.655627690491","2","-1433.945187601153"
"28","2","-7","-5","27","3","1","-1696.163652905474","2","-2182.550791433883"
"28","7","-10","-5","27","3","1","-664.292220789677","2","-3487.797932062537"
"29","1","0","-17","-11","8","1","-2210.483173735316","2","-1291.1375936672869"
"29","2","0","-17","-12","8","1","-1581.5256371903295","2","-837.4189846959605"
"29","7","-1","-16","-12","8","1","-1121.240600464347","2","-678.0332316120896"
"29","10","-8","-13","-21","8","1","-94.74446771839143","2","-2013.1889278203428"
"30","1","-1","-1","12","-26","1","-2469.4089004762236","2","-3746.2974705413562"
"30","2","-1","-1","-13","-25","1","-2404.482413154115","2","-2026.9174351569927"
"30","3","0","-1","-14","-25","1","-1692.4349200424058","2","-2908.2469422602476"
"30","7","0","-1","-14","8","1","-973.7228572709661","2","-1182.0953169959362"
"30","8","0","-8","-14","8","1","137.16335607242286","2","-938.8318184765278"
"30","22","0","7","-13","8","1","272.65359614238923","2","-803.222625823744"
"30","28","0","7","-13","7","1","418.5413675224647","2","-310.7319047156154"
"31","1","29","-16","-13","19","1","-5220.067912723704","2","-2956.660806667316"
"31","2","29","-10","-20","19","1","-3108.3227487565077","2","-4134.972376795951"
"31","4","29","-9","-20","12","1","-2565.0520140559756","2","-2070.7362331210343"
"31","6","29","-12","-29","12","1","-2026.888573506793","2","-3823.6755800181713"
"31","23","3","-12","-29","11","1","-1867.2862513899865","2","-3510.3020819722915"
"31","24","3","-12","-4","11","1","-492.9381110752922","2","-759.8240242740675"
"31","26","4","-9","-4","11","1","-415.29537148316393","2","-690.2941472415763"
"31","30","4","11","-4","11","1","-26.018586681325814","2","-60.54934072969502"
"32","1","-29","9","18","-25","1","-5169.173479974081","2","-5569.070324893093"
"32","2","-29","-10","18","-25","1","-4691.853243930309","2","-4537.225950412583"
"32","4","-29","-9","18","-25","1","-3849.7767482101744","2","-5104.832754724241"
"32","8","-5","-9","18","-25","1","-3371.335027765536","2","-4642.436265645411"
"32","10","-8","8","18","-25","1","-2797.3010471679627","2","-3277.141653705722"
"32","15","-7","8","18","-25","1","-2360.132016254428","2","-3031.2171511592587"
"33","1","-4","10","-20","-12","1","-2711.9906560607205","2","-1622.551546283261"
"33","2","-4","5","20","-12","1","-2602.961200918323","2","-2084.5614134126026"
"33","3","-4","5","19","-12","1","-771.3305368413307","2","-1511.445650551253"
"33","6","-5","5","19","-12","1","-429.4629931549198","2","-1684.97784362154"
"33","12","-5","5","19","-9","1","752.0925937825909","2","-1329.820544931723"
"34","1","30","21","-1","-20","1","-4286.539205356884","2","-4611.678050648847"
"34","2","30","21","-1","-19","1","-4157.850247319852","2","-3466.0643149376283"
"34","3","30","11","-1","-19","1","-2032.1098140488755","2","-2404.0660299383417"
"34","7","30","11","-8","-19","1","-1997.8087141700325","2","-3248.17217192091"
"34","14","30","-5","-8","-19","1","-844.874984040224","2","-2542.215015280838"
"35","1","-30","-27","4","4","1","-1358.4518631854821","2","-3576.341332186289"
"35","16","-4","-27","11","-5","1","-523.0761263585221","2","-1303.547158408308"
"35","17","-4","-7","11","-5","1","773.5882175315926","2","-456.0642782037685"
"36","1","-31","29","-13","8","1","-2612.940928563152","2","-3977.9917118908284"
"36","3","-31","3","-13","8","1","-1393.2344084755066","2","-2100.965393310856"
"36","7","29","2","-13","8","1","-402.3343159310996","2","-667.4599407191499"
"36","8","18","5","-14","8","1","371.14027921298566","2","-1735.894961053548"
"37","1","11","2","-32","-32","1","-7105.670012058446","2","-6969.580836411673"
"37","3","11","2","-29","-32","1","-6539.690272472598","2","-6690.982005984337"
"37","5","11","2","28","-32","1","-5477.168961960533","2","-6521.128246741091"
"37","10","11","3","28","-2","1","-1982.5073944843393","2","-3040.2130067724006"
"37","15","-12","12","28","-2","1","-1502.3406511225228","2","-2047.8032086301082"
"37","24","-12","12","7","-2","1","3.8778012736637493","2","-1107.075704425387"
"37","27","-12","12","4","-2","1","307.57918774404186","2","-1117.4830925186272"
"37","39","11","-13","-5","-2","1","622.0143412491825","2","-683.6078659946991"
"38","1","-5","25","32","-21","1","-6088.276995777424","2","-6188.380788152426"
"38","2","-12","-7","32","-21","1","-5928.349414246641","2","-4459.031657865953"
"38","3","-12","-7","-1","-21","1","-718.5819930832561","2","-2102.5239487499407"
"38","13","-11","-7","-1","-21","1","-499.03020217593917","2","-1508.560208588478"
"39","1","15","-4","8","6","1","-489.9609580824767","2","-1967.001151375777"
"39","3","15","4","8","1","1","1543.4430334207134","2","-529.7629395390659"
"40","1","-10","21","-22","28","1","-5512.398973878882","2","-5571.988152893426"
"40","2","-10","21","27","28","1","-4899.50862277478","2","-5643.029717974525"
"40","3","-10","21","-8","28","1","-3556.7581962883023","2","-4901.754121481734"
"40","4","-10","21","-1","29","1","-2934.460054996081","2","-4268.111209110888"
"40","9","-24","21","-1","18","1","-2763.658121891614","2","-2877.987080820083"
"40","10","-24","21","0","18","1","-2591.4203173377346","2","-2986.2940512985797"
"40","16","-27","21","0","18","1","-2467.3907481541173","2","-2126.1415881737294"
"40","17","25","10","0","18","1","-697.7700157001955","2","-2629.2371196491713"
"41","1","1","13","25","13","1","-2989.918863924066","2","-3044.6192693618223"
"41","5","1","13","32","-14","1","-2739.2363692004997","2","-3961.795904394169"
"41","7","1","13","29","-14","1","-2181.7732969769104","2","-3850.101673298781"
"41","8","1","13","3","-13","1","-1882.1952589386344","2","-436.7279746067155"
"41","11","1","13","1","-13","1","267.0480658224467","2","-1087.1032478036643"
"41","24","1","13","1","-4","1","271.8809141934179","2","-743.9174666337838"
"41","26","14","13","1","-4","1","560.5678590768287","2","-405.1608825550745"
"42","1","18","18","18","29","1","-5158.683585892283","2","-4488.208576171894"
"42","3","18","18","16","29","1","-4522.117920863483","2","-5625.2802696948265"
"42","8","18","-19","16","-30","1","-4252.121244244851","2","-5021.663705797918"
"42","17","18","-22","-18","-4","1","-2515.265122815373","2","-1637.813038411776"
"42","19","18","-22","-18","-3","1","-2095.448701850537","2","-2120.10868536332"
"42","20","16","-22","-9","-3","1","-343.69266974938887","2","-1509.9094911813104"
"43","1","29","12","-32","-6","1","-4912.153328700066","2","-4762.061118949394"
"43","2","29","12","-27","-6","1","-3168.6505768144607","2","-3401.3348465430136"
"43","7","29","-13","-27","-6","1","-2347.958707318665","2","-3130.2430496680054"
"43","14","2","-13","25","-6","1","-1868.3138453622819","2","121.2226822660798"
"43","17","2","-13","25","5","1","-995.2004909807372","2","-2423.537892753471"
"43","28","2","-13","26","5","1","-954.0307115141788","2","-2178.953259085549"
"43","29","2","-17","6","4","1","202.78058681501432","2","-665.7545846078845"
"43","39","2","15","6","4","1","300.3740602667241","2","-744.2756442352327"
"44","1","-23","0","2","5","1","-1382.9290873504597","2","-849.2669870447942"
"44","3","-23","0","2","2","1","75.12333518987691","2","604.818641288673"
"44","5","-23","3","2","2","1","111.25631574999943","2","351.63918336116495"
"44","7","-23","3","2","-3","1","150.2281870805234","2","434.612524170706"
"44","10","-23","3","3","-3","1","714.6943095649494","2","-1112.4901152330722"
"44","12","-23","3","0","2","1","1344.5691073498097","2","-915.8158231799104"
"45","1","26","-11","16","-9","1","-2976.553659253361","2","-1764.8367282526742"
"45","2","26","-11","16","8","1","-879.4748994412812","2","-1419.5729400085952"
"46","1","-18","-3","4","24","1","-1168.547132967869","2","-3384.543872416686"
"46","9","-31","-6","4","8","1","-763.764751873769","2","-2293.2199844803717"
"46","10","-2","-6","4","8","1","-688.0312195032906","2","-286.5895667102593"
"46","12","-7","-6","4","8","1","-40.74373498933306","2","-661.3971700717409"
"46","17","-26","5","-5","8","1","465.84087644123065","2","-867.9377116452929"
"46","40","-7","-11","-5","8","1","2066.5094482088243","2","101.52640079317615"
"47","1","32","-11","-2","14","1","-2950.141697281638","2","-1658.3859544326324"
"47","2","29","-11","-2","14","1","-1428.2832905905757","2","-1584.4695249130782"
"47","8","29","10","-3","-15","1","-130.04133158785976","2","-1291.4913594819554"
"47","18","20","10","-3","-2","1","11.378222763661256","2","-865.4678457632951"
"47","21","29","10","-3","-2","1","909.7692507738254","2","-1296.3529727475823"
"48","1","-24","-30","13","-11","1","-3108.712456182856","2","-2588.3007016732363"
"48","7","-24","-21","13","-10","1","-2880.8794050112683","2","-2615.8540603436113"
"48","8","-24","-21","18","-7","1","-1904.1309682263745","2","-3103.2657920741603"
"48","11","-24","-21","18","-6","1","-1717.0774264256584","2","-2901.0433962505595"
"48","14","-21","-21","-20","-6","1","-1447.8304957035432","2","-2483.9536207103556"
"48","32","-21","-13","-20","-6","1","-833.6883409086706","2","-1706.1711281099797"
"48","38","-21","-13","-14","-6","1","-727.9693669924288","2","-1288.3760961666767"
"49","1","17","-20","7","-25","1","-3744.3233991595075","2","-3340.7126466521254"
"49","3","14","-29","7","-25","1","-3633.0930356594354","2","-5406.245722824817"
"49","4","14","-29","-8","-25","1","-2999.5916767724684","2","-5094.267283673706"
"49","7","14","-4","-8","-25","1","-2336.0148423870833","2","-2975.855794944441"
"49","8","-15","-4","-8","-18","1","-1466.3724428579928","2","-1937.1717277952926"
"49","14","-15","-4","7","-18","1","-525.8667145799332","2","-1128.1914555130554"
"50","1","-15","10","-27","9","1","-4155.441961810418","2","-2451.663919201302"
"50","2","-14","10","-27","8","1","-1507.24415788619","2","-2954.56536977407"
"50","16","-3","-11","-6","8","1","-593.4049611676422","2","-250.80561079993126"
"50","21","-3","10","-6","8","1","-21.1053921830553","2","682.2876899869555"
"50","24","-3","10","5","8","1","429.28347025333323","2","-1417.191512383682"
